1. Labor rights and health,2. Inclusion and gender equity,3. Social Responsibility,4. Supply chain resilience,5. Social sustainability2Ord,RES_CS_1,RES_CS_2,RES_CS_3,RES_CS_4,RES_CS_5,RES_CS_6,TIEMPO_PANDEMIA
-2.191,-2.107,-1.614,-1.664,-2.207,3,3,3,4,3,3,PRE_Covid19_(2019)
-0.481,-0.684,-0.254,-1.065,-0.535,5,4,2,2,5,6,PRE_Covid19_(2019)
-0.419,-0.176,-0.998,-0.243,-0.569,5,4,5,5,5,6,PRE_Covid19_(2019)
0.103,0.147,0.776,1.05,0.358,7,5,7,7,7,7,PRE_Covid19_(2019)
-2.027,-1.757,-1.208,-1.531,-1.872,4,4,3,5,2,2,PRE_Covid19_(2019)
0.345,1.113,1.065,0.138,0.918,7,7,4,7,4,4,PRE_Covid19_(2019)
-0.436,-0.42,-0.051,-1.027,-0.348,4,4,4,4,4,4,PRE_Covid19_(2019)
-1.655,-1.386,-1.201,-2.06,-1.583,3,2,4,2,2,3,PRE_Covid19_(2019)
-1.216,-0.966,-0.415,-1.435,-0.985,4,4,2,3,4,4,PRE_Covid19_(2019)
1.18,1.062,1.674,1.05,1.432,7,5,7,7,7,7,PRE_Covid19_(2019)
0.218,-1.382,0.896,0.527,-0.137,6,6,6,6,6,6,PRE_Covid19_(2019)
0.625,1.113,1.099,0.534,1.039,6,6,5,7,6,6,PRE_Covid19_(2019)
-1.919,-1.289,-1.144,-1.034,-1.63,4,5,3,4,4,4,PRE_Covid19_(2019)
0.398,0.291,0.313,0.527,0.373,6,6,6,6,6,6,PRE_Covid19_(2019)
0.088,0.785,-0.254,0.368,0.247,7,5,4,5,7,7,PRE_Covid19_(2019)
0.252,0.568,0.321,0.394,0.423,6,6,5,6,6,6,PRE_Covid19_(2019)
-1.151,-1.087,-0.514,-0.245,-1.039,5,6,6,5,4,4,PRE_Covid19_(2019)
-0.304,-0.913,0.412,-0.11,-0.327,5,5,5,6,5,5,PRE_Covid19_(2019)
-0.774,-1.11,-1.614,-1.404,-1.271,3,5,5,3,2,3,PRE_Covid19_(2019)
-1.276,-1.138,-0.92,-0.907,-1.245,4,4,4,4,5,4,PRE_Covid19_(2019)
-2.451,-2.114,-1.354,-2.074,-2.224,3,3,3,3,3,1,PRE_Covid19_(2019)
-0.148,0.641,-1.151,0.394,-0.203,6,6,5,6,6,6,PRE_Covid19_(2019)
0.132,0.424,0.735,0.01,0.461,5,6,6,5,5,5,PRE_Covid19_(2019)
-0.399,-0.67,-0.1,0.159,-0.445,5,5,6,6,5,6,PRE_Covid19_(2019)
0.795,1.312,0.433,0.782,0.957,6,6,6,6,7,7,PRE_Covid19_(2019)
-1.071,-1.064,-0.745,-1.805,-1.077,3,3,3,3,3,3,PRE_Covid19_(2019)
0.053,-0.195,0.566,-0.13,0.138,6,5,5,5,5,5,PRE_Covid19_(2019)
0.754,0.785,-0.051,0.388,0.577,6,5,4,6,7,7,PRE_Covid19_(2019)
0.334,0.766,0.006,-0.377,0.424,5,4,5,5,5,5,PRE_Covid19_(2019)
-1.15,-0.148,-0.051,-0.371,-0.526,5,5,5,5,4,5,PRE_Covid19_(2019)
-1.43,0.174,-1.565,-0.918,-1.025,3,3,3,3,7,6,PRE_Covid19_(2019)
0.709,0.216,-0.073,0.279,0.336,6,4,6,7,6,5,PRE_Covid19_(2019)
-0.689,-0.869,-0.017,-0.258,-0.607,6,6,5,5,4,4,PRE_Covid19_(2019)
0.533,0.147,0.321,-0.015,0.374,6,5,5,4,6,6,PRE_Covid19_(2019)
0.492,0.225,-0.051,0.399,0.262,7,6,5,7,5,5,PRE_Covid19_(2019)
0.019,-1.138,-0.99,-1.027,-0.759,4,4,4,4,4,4,PRE_Covid19_(2019)
-0.833,-0.973,-1.411,-0.659,-1.173,5,5,4,4,5,4,PRE_Covid19_(2019)
0.305,0.14,-0.563,-0.402,-0.017,5,5,3,4,6,6,PRE_Covid19_(2019)
1.18,0.91,1.268,0.627,1.238,7,7,5,6,7,5,PRE_Covid19_(2019)
0.795,1.312,0.433,0.782,0.957,6,6,6,6,7,7,PRE_Covid19_(2019)
-0.614,-0.254,-1.144,-0.511,-0.724,5,4,4,5,5,5,PRE_Covid19_(2019)
-1.019,0.258,-1.242,-0.25,-0.722,5,5,5,5,5,5,PRE_Covid19_(2019)
-0.493,-0.247,-0.983,0.145,-0.62,5,7,5,6,5,5,PRE_Covid19_(2019)
1.097,0.766,0.531,-0.002,0.902,5,5,6,4,6,6,PRE_Covid19_(2019)
1.097,0.766,0.531,-0.002,0.902,5,5,6,4,6,6,PRE_Covid19_(2019)
-1.17,-2.251,-1.193,-1.295,-1.717,4,3,4,3,4,4,PRE_Covid19_(2019)
0.561,0.891,1.26,1.304,0.984,7,7,7,7,7,7,PRE_Covid19_(2019)
-0.577,-0.051,-0.051,-0.524,-0.264,5,5,4,4,5,5,PRE_Covid19_(2019)
0.185,-1.36,-1.159,0.406,-0.835,5,6,6,6,6,6,PRE_Covid19_(2019)
-0.608,-0.748,-0.129,-0.385,-0.567,6,5,5,5,4,4,PRE_Covid19_(2019)
0.643,0.218,0.11,0.528,0.373,6,6,5,6,6,7,PRE_Covid19_(2019)
0.607,-0.67,-0.269,0.253,-0.106,6,6,5,5,6,6,PRE_Covid19_(2019)
1.18,1.312,1.674,1.304,1.527,7,7,7,7,7,7,PRE_Covid19_(2019)
-2.534,-2.402,-1.776,0.222,-2.508,7,7,6,6,7,1,PRE_Covid19_(2019)
0.012,-0.394,-1.565,-0.129,-0.673,5,7,4,5,5,5,PRE_Covid19_(2019)
0.14,0.068,-0.155,-0.001,0.029,6,4,5,5,6,6,PRE_Covid19_(2019)
-0.091,0.509,-1.614,-0.371,-0.387,5,6,4,6,4,4,PRE_Covid19_(2019)
0.478,0.067,0.11,0.011,0.251,6,5,5,6,5,5,PRE_Covid19_(2019)
0.359,0.424,0.313,-0.25,0.408,5,5,5,5,5,5,PRE_Covid19_(2019)
0.309,0.115,-1.032,-0.256,-0.183,6,2,5,5,6,6,PRE_Covid19_(2019)
1.069,0.917,1.099,0.394,1.14,6,6,5,6,6,6,PRE_Covid19_(2019)
-0.408,-0.939,-0.626,-0.518,-0.728,6,5,4,5,4,4,PRE_Covid19_(2019)
-0.26,-0.084,-0.829,-1.215,-0.414,5,6,2,2,5,3,PRE_Covid19_(2019)
0.905,0.397,1.106,0.005,0.88,5,5,5,5,6,6,PRE_Covid19_(2019)
0.395,0.634,0.152,0.407,0.447,6,7,4,7,5,6,PRE_Covid19_(2019)
0.578,-0.609,0.818,-0.009,0.272,6,5,5,5,6,5,PRE_Covid19_(2019)
0.218,-0.767,-0.22,0.64,-0.28,7,7,6,6,6,5,PRE_Covid19_(2019)
0.164,-0.224,0.531,-0.149,0.159,5,7,4,4,6,5,PRE_Covid19_(2019)
-0.487,-0.597,-0.373,0.532,-0.544,6,7,7,6,5,5,PRE_Covid19_(2019)
0.369,-1.235,-0.787,0.406,-0.589,5,6,6,6,6,6,PRE_Covid19_(2019)
-1.221,-2.005,-1.201,-0.11,-1.647,5,6,6,5,4,5,PRE_Covid19_(2019)
-0.995,-1.013,-0.212,-1.162,-0.848,4,4,4,4,4,3,PRE_Covid19_(2019)
-0.367,-0.202,0.355,-1.013,-0.101,4,4,4,4,3,5,PRE_Covid19_(2019)
-0.14,0.35,0.454,0.151,0.231,5,6,6,6,5,5,PRE_Covid19_(2019)
0.724,1.312,1.674,1.304,1.348,7,7,7,7,7,7,PRE_Covid19_(2019)
0.06,-0.833,-0.051,0.126,-0.31,6,5,5,5,6,6,PRE_Covid19_(2019)
1.18,1.16,1.512,0.79,1.415,7,6,5,7,6,7,PRE_Covid19_(2019)
-0.57,-0.301,-0.787,0.005,-0.604,5,5,5,5,6,6,PRE_Covid19_(2019)
-0.324,0.074,0.524,-0.25,0.077,5,5,5,5,5,5,PRE_Covid19_(2019)
0.564,0.693,1.309,0.768,0.927,7,6,6,6,7,6,PRE_Covid19_(2019)
0.036,1.312,1.148,-0.114,0.9,5,3,3,7,7,6,PRE_Covid19_(2019)
0.486,1.187,0.685,0.661,0.873,6,5,6,7,7,6,PRE_Covid19_(2019)
-1.908,-1.504,-1.369,-1.155,-1.784,4,3,4,4,4,4,PRE_Covid19_(2019)
0.866,0.291,0.727,0.653,0.696,6,7,7,6,6,5,PRE_Covid19_(2019)
-0.316,-0.401,-0.626,0.137,-0.488,6,6,6,6,5,4,PRE_Covid19_(2019)
0.641,0.093,0.152,0.527,0.339,6,6,6,6,6,6,PRE_Covid19_(2019)
-0.089,-1.187,-0.584,-0.767,-0.683,4,5,5,4,4,4,PRE_Covid19_(2019)
0.102,-0.67,-0.051,0.018,-0.231,6,6,5,6,4,5,PRE_Covid19_(2019)
-0.256,0.074,0.37,-0.633,0.052,5,4,5,5,4,4,PRE_Covid19_(2019)
-0.073,-0.394,0.152,-0.137,-0.127,6,6,5,5,5,4,PRE_Covid19_(2019)
-1.64,-1.613,-1.565,-1.549,-1.786,3,3,3,3,4,4,PRE_Covid19_(2019)
-0.591,-1.242,-1.201,-0.639,-1.109,5,5,4,5,4,4,PRE_Covid19_(2019)
0.641,-0.491,0.103,0.527,0.1,6,6,6,6,6,6,PRE_Covid19_(2019)
0.213,0.384,-0.927,-0.237,-0.083,6,4,5,6,4,5,PRE_Covid19_(2019)
1.097,0.863,-0.886,0.649,0.46,6,6,5,6,7,7,PRE_Covid19_(2019)
-1.915,-1.783,-1.201,-1.805,-1.836,3,3,3,3,3,3,PRE_Covid19_(2019)
-0.569,-0.401,-0.465,-0.498,-0.533,5,5,4,6,4,4,PRE_Covid19_(2019)
1.068,0.712,-0.795,0.654,0.422,6,7,6,6,6,6,PRE_Covid19_(2019)
-0.798,-1.433,-1.614,-0.619,-1.403,4,5,4,6,4,4,PRE_Covid19_(2019)
0.641,0.49,-0.051,0.266,0.421,7,6,6,5,4,6,PRE_Covid19_(2019)
0.641,0.443,-0.163,0.261,0.365,5,5,5,5,7,7,PRE_Covid19_(2019)
1.1,-0.834,-0.626,-0.123,-0.095,5,6,5,5,5,5,PRE_Covid19_(2019)
-0.059,-0.769,-0.941,-0.391,-0.633,5,5,5,4,5,5,PRE_Covid19_(2019)
-0.284,-0.953,-0.415,-0.377,-0.614,5,4,5,5,5,5,PRE_Covid19_(2019)
0.566,0.837,-0.254,0.526,0.455,6,6,7,6,6,5,PRE_Covid19_(2019)
-1.786,-1.709,-1.572,-1.512,-1.882,2,3,5,5,3,2,PRE_Covid19_(2019)
0.818,1.023,0.482,1.057,0.873,6,6,7,7,7,7,PRE_Covid19_(2019)
-0.719,-0.571,-0.668,-0.507,-0.725,6,5,6,5,3,3,PRE_Covid19_(2019)
0.115,-1.511,-1.151,0.138,-0.917,6,6,5,6,5,5,PRE_Covid19_(2019)
0.617,0.253,0.524,-0.651,0.516,5,4,4,4,5,5,PRE_Covid19_(2019)
0.512,-1.802,-0.212,-0.498,-0.554,5,4,5,5,4,5,PRE_Covid19_(2019)
-1.056,-0.401,-1.565,0.399,-1.096,6,7,6,6,5,5,PRE_Covid19_(2019)
-0.817,-0.878,-1.776,-1.303,-1.254,3,5,3,4,5,2,PRE_Covid19_(2019)
-2.332,-2.052,-1.776,0.908,-2.296,7,7,7,6,6,6,PRE_Covid19_(2019)
0.866,-0.032,-0.373,0.654,0.203,6,7,6,6,6,6,PRE_Covid19_(2019)
0.902,0.225,-0.288,0.399,0.343,6,7,6,6,5,5,PRE_Covid19_(2019)
-0.645,-0.295,0.313,-1.146,-0.26,5,5,1,5,2,5,PRE_Covid19_(2019)
1.18,1.312,-0.051,-0.269,0.945,6,4,4,5,6,5,PRE_Covid19_(2019)
-2.534,-2.402,-1.776,-3.359,-2.508,1,1,1,1,1,1,PRE_Covid19_(2019)
-0.994,-0.34,-1.208,0.54,-0.928,6,6,7,6,5,6,PRE_Covid19_(2019)
0.983,1.187,0.152,0.642,0.889,6,6,6,5,7,7,PRE_Covid19_(2019)
-0.221,0.28,-1.565,0.642,-0.509,7,6,4,7,7,6,PRE_Covid19_(2019)
0.538,0.343,0.524,0.253,0.519,6,6,5,5,6,6,PRE_Covid19_(2019)
0.188,-0.183,-1.201,-0.002,-0.401,6,6,5,5,5,5,PRE_Covid19_(2019)
0.499,0.272,0.524,0.547,0.476,7,4,7,7,5,6,PRE_Covid19_(2019)
0.563,0.193,0.137,0.648,0.341,6,6,6,6,7,6,PRE_Covid19_(2019)
0.326,-0.051,0.16,-0.001,0.163,5,6,4,5,6,6,PRE_Covid19_(2019)
-0.253,-0.195,0.152,-0.384,-0.122,5,5,4,5,5,5,PRE_Covid19_(2019)
-0.169,-0.051,-0.212,0.392,-0.157,6,6,6,6,6,5,PRE_Covid19_(2019)
